Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
78375,7.8857885,-76.6380670,VALE+
78429,3.2577971,-76.5447846,VALE+
78409,4.5359358,-75.6976132,VALE+
78413,10.9488990,-74.7751937,REVAL
78410,8.3134769,-75.1446154,REVAL
78430,8.7499341,-75.8897657,REVAL
78432,4.4077617,-73.3318788,REVAL
78454,10.4169422,-75.4380489,REVAL
78425,1.6144227,-75.6170415,REVAL
78426,1.6141504,-75.6071182,REVAL
78450,3.4466041,-76.5118048,VALE+
78447,3.4459279,-76.5118265,VALE+
78458,2.4637612,-76.6444306,VALE+
78463,5.0729422,-75.9629676,VALE+
78462,3.0154717,-76.4804777,VALE+
78349,3.9863773,-74.4614721,VALE+
78439,5.4604554,-74.3373323,VALE+
78423,7.8713643,-72.5293806,REVAL
78434,3.5441444,-76.2911869,VALE+
78441,5.5415745,-73.3607229,REVAL
78445,5.6363422,-73.5228134,REVAL
78411,4.5694973,-72.9658397,REVAL
78412,10.9461583,-74.7762502,REVAL
78433,2.9517747,-75.2867497,REVAL
78436,7.2263894,-73.8453969,REVAL
78456,1.1999270,-77.2843789,VALE+
78448,3.4183099,-76.5173292,VALE+
78449,3.4074077,-76.5021814,VALE+
78470,1.6751859,-77.3308429,VALE+
78453,3.3923820,-76.4169950,VALE+
78407,3.2211696,-75.2366978,REVAL
78414,4.5682058,-74.1160618,VALE+
78440,6.4773363,-73.2571036,REVAL
78417,3.4207153,-76.5273007,VALE+
78431,8.7579529,-75.8929700,REVAL
78442,10.3294693,-75.4095618,REVAL
78420,10.4242438,-75.5465947,REVAL
78418,10.4268490,-75.5366402,REVAL
78424,6.6964826,-73.5110644,REVAL
78451,3.3764988,-76.5158351,VALE+
78457,1.2084767,-77.2801633,VALE+
78469,6.2841542,-75.5859731,VALE+
78465,1.5700680,-77.2820305,VALE+
78467,3.1752949,-76.4629197,VALE+
78459,3.4219802,-76.2436827,VALE+
78446,5.3436371,-72.3999973,REVAL
78427,3.3237034,-76.2337300,VALE+
78416,4.5315309,-75.6623573,VALE+
78438,6.5553091,-73.1407631,REVAL
78421,8.8847593,-75.7904834,REVAL
78435,2.9398601,-73.2041723,REVAL
78443,10.4543960,-73.2720536,REVAL
78437,1.9997166,-76.1328740,REVAL
78444,10.4552743,-73.2671441,REVAL
78419,10.4004308,-75.4852081,REVAL
78455,6.1431387,-75.1851605,VALE+
78468,6.2476320,-75.5560147,VALE+
78466,2.5114880,-76.4026176,VALE+
78460,4.6375107,-75.5686697,VALE+
78452,3.3740907,-76.5492055,VALE+
