Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
78892,6.4698210,-73.2615019,REVAL
78910,-3.7815032,-70.3660525,REVAL
78966,10.6332276,-74.9293212,REVAL
78941,2.5236848,-75.3149606,REVAL
78962,0.5068086,-76.4939471,REVAL
78957,1.9278750,-76.2188719,REVAL
78943,10.9440571,-74.8063702,REVAL
78951,7.9363602,-72.4955636,REVAL
78956,4.4450253,-75.2178687,REVAL
78953,2.3940632,-75.5412641,REVAL
79149,5.5283064,-73.3664365,VALE+
79108,8.7656509,-75.8864178,VALE+
79166,6.2428155,-75.5564873,VALE+
79165,6.2577965,-75.5530958,VALE+
79163,6.3079397,-75.5832793,VALE+
79047,3.4497067,-76.5162112,VALE+
79148,2.0711839,-75.9046532,VALE+
79170,5.3469327,-72.3975241,VALE+
79074,10.3731241,-75.4976873,VALE+
79045,7.0980118,-73.1172601,VALE+
79057,8.8977305,-75.7844855,VALE+
79066,7.9337958,-72.5042289,VALE+
79143,10.9329139,-74.7863256,VALE+
79120,4.3148164,-72.0860996,VALE+
78782,10.9538126,-74.7737010,REVAL
78874,-4.2146570,-69.9418839,REVAL
78905,3.4761500,-73.9103047,REVAL
78968,2.1128693,-74.7692774,VALE+
78969,2.1128627,-74.7719252,REVAL
78942,2.5228557,-75.3155282,REVAL
78961,2.9366928,-75.2687920,REVAL
78960,8.7551346,-75.8854261,REVAL
78948,7.8820568,-72.5017999,REVAL
78954,4.4537513,-75.2016094,REVAL
78945,10.9629806,-74.8681252,REVAL
79085,7.0636713,-73.0946171,VALE+
79109,8.7291727,-75.8744897,VALE+
79164,6.2199715,-75.6072807,VALE+
79050,3.4660228,-76.5074672,VALE+
79060,6.1850392,-75.6046136,VALE+
79048,3.3788917,-76.5614457,VALE+
79140,5.7571656,-72.9038504,VALE+
79082,7.4730667,-73.2044904,VALE+
79160,4.1334396,-73.6213262,VALE+
79026,8.3069481,-73.6060221,VALE+
79036,7.0644595,-73.8328641,VALE+
79070,7.9289567,-72.5204696,VALE+
79097,10.8337026,-75.0496987,VALE+
79119,4.3148164,-72.0860996,VALE+
78894,8.1750912,-76.0603625,REVAL
78904,10.8382851,-75.0503319,REVAL
78958,10.8287355,-75.0382422,REVAL
78952,1.6093167,-75.6277989,REVAL
78949,7.8754440,-72.5200586,VALE+
78959,2.1968875,-75.9791514,REVAL
78971,4.1228020,-73.6129222,REVAL
78947,7.9457745,-72.5034244,REVAL
78965,7.3941626,-73.4937086,REVAL
78946,4.6060480,-74.1156994,VALE+
79130,9.7377290,-75.5172796,VALE+
79111,2.9362035,-75.2849479,VALE+
79105,5.0746141,-75.4956191,VALE+
79167,6.2888480,-75.5727577,VALE+
79083,2.4877734,-76.9151480,VALE+
79152,10.4621497,-73.2537550,VALE+
79053,3.4040007,-76.3824871,VALE+
79169,5.3414150,-72.3968559,VALE+
79072,10.3980422,-75.4976014,VALE+
79041,4.6270635,-74.1625490,VALE+
79069,7.9098279,-72.4926390,VALE+
79067,7.8857105,-72.5014770,VALE+
79142,10.9280376,-74.7753372,VALE+
79158,4.6084732,-72.9285960,VALE+
78878,8.7547622,-75.8843897,REVAL
78888,-3.7820410,-70.3659892,REVAL
78967,2.1209107,-74.7563908,VALE+
78963,1.9114537,-75.1569372,REVAL
78964,2.7791998,-75.2606483,REVAL
78944,10.9397334,-74.8094537,REVAL
78970,7.8315784,-72.4746980,REVAL
78955,4.4517617,-75.2010083,REVAL
78950,7.9177482,-72.4953698,VALE+
79075,4.2664154,-73.4855281,VALE+
79114,6.9963715,-73.0799766,VALE+
79093,4.4505630,-75.2005022,VALE+
79049,3.3877160,-76.5198158,VALE+
79162,6.2496683,-75.5715002,VALE+
79106,6.5517838,-74.7876019,VALE+
79051,3.4674746,-76.4975856,VALE+
79153,10.4603149,-73.2507632,VALE+
79150,5.5207410,-73.370506,VALE+
79027,3.1064351,-75.2877504,VALE+
79046,7.1013501,-73.1420230,VALE+
79088,7.0730773,-73.1726611,VALE+
79079,7.5975230,-74.8053313,VALE+
79157,4.6105930,-72.9326903,VALE+
