Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
78733,1.2291300,-78.0272284,VALE+
78780,11.0042663,-74.8176656,REVAL
78837,5.5368266,-73.3667443,REVAL
78823,5.7227000,-72.9238152,REVAL
78786,10.9573449,-74.7795671,REVAL
78840,10.3095250,-75.4044629,REVAL
78843,5.7298018,-73.9327767,REVAL
78814,5.7230241,-73.2248874,REVAL
78797,3.8265942,-73.6928925,REVAL
78800,5.8253293,-73.0452522,REVAL
78792,4.5925757,-74.0950834,VALE+
78846,5.3103584,-73.8105594,VALE+
78881,8.7611722,-75.9003958,REVAL
78880,8.7309171,-75.8809679,VALE+
78870,5.8106784,-73.0290543,REVAL
78897,10.4419065,-73.2793087,REVAL
78890,8.0844143,-72.8012965,VALE+
78889,11.2251686,-74.1903832,REVAL
78909,4.0993124,-72.9546234,VALE+
78920,4.1321854,-73.6195919,VALE+
78916,10.4693384,-73.2359448,VALE+
78864,10.0364256,-73.2348481,VALE+
78914,3.7098953,-73.6893413,VALE+
78911,8.3641247,-72.4060663,VALE+
78896,10.3295798,-75.4086404,VALE+
78783,10.9634349,-74.7742876,REVAL
78784,10.9495100,-74.7696100,REVAL
78802,7.0811396,-73.1034847,REVAL
78785,10.9767267,-74.7755850,REVAL
78826,10.8970482,-74.8064819,REVAL
78799,7.8807571,-72.4797117,REVAL
78829,10.8914102,-74.8086738,REVAL
78776,3.9903723,-73.7665173,REVAL
78795,10.4083654,-75.5172961,REVAL
78787,4.7589003,-74.0275039,VALE+
78788,4.6072315,-74.0790344,VALE+
78789,4.6314368,-74.1088456,VALE+
78865,5.9380643,-73.6141999,VALE+
78884,6.9928160,-73.0623574,REVAL
78867,10.3832085,-75.4728820,REVAL
78866,7.6131413,-72.6458726,REVAL
78895,5.5391206,-73.3510356,REVAL
78886,5.8767144,-73.6780002,REVAL
78919,4.1196407,-73.5642444,VALE+
78899,7.6084696,-72.6503682,VALE+
78863,3.9150260,-73.6850786,VALE+
78907,2.7361027,-72.5834790,VALE+
78913,3.7085608,-73.6904193,VALE+
78871,7.9297834,-72.5017883,REVAL
78900,10.4098951,-75.5321829,VALE+
78781,10.9530441,-74.8300120,REVAL
78831,7.1883408,-72.8724398,REVAL
78804,5.7066089,-73.3727669,REVAL
78778,10.9837313,-74.7831530,REVAL
78798,7.8927682,-72.5092238,REVAL
78794,10.3992149,-75.5591503,REVAL
78779,10.9813835,-74.7783494,REVAL
78817,5.5657880,-73.1851763,REVAL
78809,6.3316085,-72.6838315,REVAL
78820,5.4610496,-74.3373199,VALE+
78790,4.6663511,-74.0780929,VALE+
78791,4.6464492,-74.1444291,VALE+
78877,6.8334770,-73.0822050,VALE+
78883,6.3445232,-72.8178749,VALE+
78885,8.4094475,-75.5855843,REVAL
78869,7.8891811,-72.4974789,VALE+
78891,7.1984750,-72.7124263,VALE+
78882,6.2643818,-73.2985067,VALE+
78922,4.1568063,-73.6534783,VALE+
78902,7.8943026,-72.5098401,VALE+
78918,7.8196419,-72.4549867,VALE+
78906,2.6231928,-72.7621851,VALE+
78903,3.5428352,-73.6912505,VALE+
78908,8.8212751,-76.2937077,VALE+
78777,10.9495362,-74.8326591,REVAL
78803,5.6912697,-73.3675628,REVAL
78834,5.5129224,-73.3715292,REVAL
78806,10.8479183,-74.7753867,REVAL
78812,10.6241564,-74.9215994,REVAL
78796,10.3846588,-75.5046236,REVAL
78793,7.1211529,-73.1342657,REVAL
78805,3.8780451,-73.7719545,REVAL
78808,5.9861124,-72.7478295,REVAL
78807,5.1301974,-74.1580403,VALE+
78848,5.0306828,-74.0038508,VALE+
78879,8.7537042,-75.9069798,VALE+
78887,4.3148164,-72.0860996,REVAL
78893,8.1689655,-76.0597762,VALE+
78875,9.2265143,-75.8194835,REVAL
78876,7.8150619,-72.516009,REVAL
78898,4.1392416,-73.6150615,REVAL
78873,5.8753750,-73.7830797,VALE+
78921,4.1200002,-73.5633610,VALE+
78901,8.1662108,-72.4787800,VALE+
78917,10.4499415,-73.2474648,VALE+
78923,4.1388418,-73.6465418,VALE+
78912,4.2452270,-73.5579986,VALE+
78915,5.5781560,-73.3677092,VALE+
