Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
79937,10.3789631,-74.7060140,REVAL
80747,2.4789020,-76.5616598,VALE+
80728,7.9441981,-72.5030179,VALE+
80061,2.4503321,-77.9787782,VALE+
80024,4.5271472,-73.9244463,VALE+
80028,2.4738210,-76.5597521,VALE+
80150,2.1983000,-75.6304200,REVAL
80170,2.8891920,-75.2576254,REVAL
80175,5.7920578,-75.8418433,VALE+
80158,3.2573558,-76.5382298,VALE+
80199,6.2920415,-75.5932146,VALE+
80177,2.1143323,-76.9866487,VALE+
80159,5.0612533,-73.9776933,VALE+
80131,7.8007203,-76.6537805,VALE+
80118,4.5617070,-74.1430090,VALE+
80173,2.3499847,-78.3264290,VALE+
80161,1.9310881,-77.3513517,VALE+
80123,3.4269895,-76.4811310,VALE+
80121,3.0153171,-76.6432434,VALE+
80152,5.0661419,-74.5965304,VALE+
80187,4.9682428,-74.2884633,VALE+
80301,9.7382349,-75.5236779,REVAL
80135,8.2377626,-72.4266507,REVAL
80258,7.8798843,-72.4960944,REVAL
80154,4.4477862,-75.1805469,REVAL
80194,5.5653133,-73.3478377,REVAL
80144,7.0681449,-73.1069715,REVAL
80277,6.2206534,-73.8112049,REVAL
80291,2.4805811,-76.5636728,VALE+
80164,5.0536924,-75.4817642,VALE+
80126,10.3663148,-75.4987872,REVAL
80251,1.3364320,-74.8421588,REVAL
80267,2.3853397,-75.5488890,REVAL
80282,9.2346284,-74.7448498,REVAL
80279,9.1577797,-76.1027173,REVAL
80237,7.0872635,-73.8955894,REVAL
80309,2.3532288,-76.6827623,VALE+
80281,4.7303920,-74.2798992,VALE+
80283,5.0517358,-75.4889368,VALE+
80248,3.4394049,-76.5012923,VALE+
80268,3.9075746,-76.2976147,VALE+
80294,2.4299875,-76.6164323,VALE+
80302,3.9931268,-76.2324796,VALE+
80236,1.6711610,-78.1404596,VALE+
80421,5.1673649,-72.5501938,REVAL
80234,2.5242774,-75.3163850,REVAL
80278,6.3178853,-73.7535396,REVAL
80311,5.4099421,-71.6624837,REVAL
80264,7.9146483,-72.5297436,REVAL
80393,1.8283377,-75.2183809,REVAL
80339,3.9013980,-73.4712921,REVAL
80397,9.1458672,-75.5096154,REVAL
80366,7.9283593,-72.4938444,REVAL
80371,4.4415037,-75.1772190,REVAL
80363,3.1756743,-76.2622638,VALE+
80343,4.5903029,-74.1053941,VALE+
80346,4.6431750,-74.1715950,VALE+
80356,3.4341420,-76.5151678,VALE+
80382,5.1513731,-76.6857041,VALE+
80350,4.6198021,-74.1887043,VALE+
80362,6.1704355,-75.6284199,VALE+
80365,5.7161797,-76.6494595,VALE+
80388,4.7903809,-75.7369907,VALE+
80414,5.3003276,-73.8155978,VALE+
80367,7.9165133,-72.4658073,REVAL
80377,2.3901229,-75.8945432,REVAL
80410,8.1737567,-76.0599414,REVAL
80383,8.7671587,-75.8672186,REVAL
80422,7.1286403,-73.1069782,REVAL
80459,6.5670118,-73.1474447,REVAL
80436,7.1253432,-73.1172995,REVAL
80458,2.9397674,-73.2048791,REVAL
80462,3.6973908,-73.6671101,REVAL
80439,3.3812859,-76.5434138,VALE+
80553,6.2136216,-75.6015695,VALE+
80536,3.5589302,-76.4265306,VALE+
80445,5.9281004,-75.6720624,VALE+
80449,2.4499955,-76.8078400,VALE+
80530,2.5721339,-77.8834121,VALE+
80521,1.3611116,-77.2844481,VALE+
80431,4.6849842,-74.0648094,VALE+
80435,4.7311180,-74.0887582,VALE+
80545,5.5486623,-73.3548144,REVAL
80549,7.8621052,-72.4764318,REVAL
80519,10.4063171,-75.4509020,REVAL
80528,2.3138307,-75.5030310,REVAL
80534,2.9462255,-75.3071331,REVAL
80548,6.3480084,-75.5494338,VALE+
80563,4.2800376,-72.6179694,REVAL
80562,8.7595431,-75.8825108,REVAL
80560,4.4501818,-75.1339134,REVAL
80605,4.4478268,-75.1760410,REVAL
80619,1.8502039,-76.0488864,REVAL
80600,5.8234969,-73.0349662,REVAL
80576,4.7347481,-74.0883633,VALE+
80618,4.1789529,-74.4221554,VALE+
80590,7.7511318,-76.6500319,VALE+
80637,6.2370868,-75.5615523,VALE+
80612,4.6383950,-74.5191417,VALE+
80631,4.6121817,-76.0781092,VALE+
80587,3.4653753,-76.5020377,VALE+
80588,3.4661067,-76.5016347,VALE+
80629,5.0437467,-75.5110616,VALE+
80573,3.9870640,-73.7595258,REVAL
80595,7.8842275,-72.5011701,REVAL
80626,10.7635990,-74.7563487,REVAL
80622,9.3537019,-75.9526665,REVAL
80668,5.5118573,-73.9414658,REVAL
80689,1.3241595,-75.9742797,VALE+
80692,1.1339221,-76.1753842,REVAL
80647,2.2551877,-75.7709545,REVAL
80687,3.7113204,-73.2458524,REVAL
80646,3.9725261,-73.7672011,REVAL
80764,5.3427806,-72.3951386,VALE+
80681,7.3799430,-72.6369828,REVAL
80734,7.0912300,-73.1025317,VALE+
80694,1.6702386,-77.0108889,VALE+
80670,3.8998272,-76.2976795,VALE+
80649,4.5230939,-75.6924986,VALE+
80655,4.6265450,-74.1207800,VALE+
80695,3.0122208,-76.4831327,VALE+
