Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
79355,3.8830907,-77.0526042,VALE+
79342,3.9725261,-73.7672011,REVAL
79616,3.8847363,-77.0725789,VALE+
79648,4.8049221,-75.7400308,VALE+
79656,5.0882011,-73.7910802,VALE+
79632,5.7179108,-75.3083697,VALE+
79602,4.7034087,-74.1312801,VALE+
79604,4.6345166,-74.1119824,VALE+
79641,6.1950111,-74.0874058,REVAL
79671,6.2483301,-75.5682791,VALE+
79638,4.9493354,-74.5942554,VALE+
79612,4.6398700,-74.1458324,VALE+
79654,4.5900350,-74.2200283,VALE+
79673,6.2491044,-75.5912660,VALE+
79674,6.2948241,-75.5743278,VALE+
79613,4.7479605,-74.1003515,VALE+
79615,4.5772797,-74.1246276,VALE+
79605,4.5419652,-74.1465054,VALE+
79677,6.2497001,-75.5565854,VALE+
79626,5.1487497,-73.6795422,VALE+
79618,3.3683347,-76.5551611,VALE+
79659,10.4457213,-73.2806019,REVAL
79596,10.9552043,-72.7887858,REVAL
79598,10.9433459,-74.7938900,REVAL
79682,1.8516338,-76.0425061,REVAL
79684,9.3075316,-75.4011988,REVAL
79813,8.2598844,-73.3592417,REVAL
79783,3.8543982,-74.9385654,REVAL
79786,10.6302080,-74.9172416,REVAL
79767,7.8977940,-72.4900841,REVAL
79749,4.6309842,-74.1765519,VALE+
79815,8.2603580,-73.3616400,REVAL
79816,8.2401628,-73.3583046,REVAL
79771,7.5987203,-74.8027015,REVAL
79819,5.6608189,-74.1819871,REVAL
79787,2.5541404,-72.6415013,REVAL
79820,7.3717879,-72.6472222,REVAL
79772,2.3305598,-72.6302271,REVAL
79830,6.2517169,-74.8285771,VALE+
79751,3.4231590,-76.5501834,VALE+
79818,5.6061528,-77.4416497,VALE+
79797,2.3535235,-76.6854470,VALE+
79769,3.5736187,-76.6472023,VALE+
79747,4.6319237,-74.2064245,VALE+
79755,3.4148569,-76.5418641,VALE+
79790,4.4017427,-74.0249527,VALE+
79798,2.3532433,-76.6858429,VALE+
79759,8.0097490,-75.2474043,REVAL
79801,10.3782766,-75.4473180,REVAL
79821,5.0799717,-74.4871167,VALE+
79851,4.9648131,-73.4901903,REVAL
79838,8.3182712,-73.5965706,REVAL
79848,3.9016686,-76.2998658,VALE+
79849,4.1774610,-74.5325517,REVAL
79858,5.6357254,-74.1581749,REVAL
79869,2.9536353,-75.2909220,REVAL
79872,4.1024117,-73.6221687,REVAL
79874,2.8580609,-73.8126822,REVAL
79871,9.2381475,-74.3524105,REVAL
79880,7.2050445,-72.4423510,REVAL
79961,4.1275466,-73.6168647,VALE+
80009,3.6124511,-76.2724396,VALE+
79962,6.2319758,-75.5603269,VALE+
79954,1.5783425,-77.3455963,VALE+
80006,6.4637506,-75.5590836,VALE+
80079,5.0105532,-74.4710755,VALE+
80017,4.7102050,-74.1996117,VALE+
79943,6.0126887,-75.1429476,VALE+
80013,4.8094679,-74.3577277,VALE+
79934,4.6243635,-74.0762286,VALE+
79941,4.9914834,-73.8729465,VALE+
79957,6.3342648,-75.5571034,VALE+
80080,3.1283049,-73.7545813,VALE+
79993,3.4037520,-76.4989983,VALE+
80063,6.2333541,-75.1580673,VALE+
80049,2.4165321,-76.6235003,VALE+
79994,3.4227637,-76.5441479,VALE+
80058,5.3168922,-73.3967793,VALE+
80010,1.4242474,-77.0735377,VALE+
79977,4.6162010,-74.0707819,VALE+
79979,4.5783403,-74.1568603,VALE+
80090,6.2520433,-75.6032776,VALE+
80060,5.3226739,-73.4905356,VALE+
80066,5.0619999,-75.8698932,VALE+
80037,3.4615646,-76.3348186,VALE+
80070,10.4722978,-73.2774668,VALE+
80003,7.9400932,-72.5139743,VALE+
80055,7.2649004,-73.1495061,VALE+
79967,3.9725261,-73.7672011,VALE+
80012,7.9352858,-72.6058366,VALE+
79989,3.4140330,-76.4938193,VALE+
80040,1.1914046,-77.2701378,VALE+
80015,1.6190589,-75.6164485,VALE+
79313,2.3463095,-78.3260318,VALE+
79387,7.0627668,-73.0864802,REVAL
79565,3.5539707,-76.3016165,VALE+
79627,6.3724742,-75.4460312,VALE+
79663,4.1293031,-73.6128273,REVAL
79538,4.6957380,-74.1223101,VALE+
79599,4.6342585,-74.1710873,VALE+
79660,6.3351028,-75.5663807,VALE+
79611,4.5649119,-74.1424012,VALE+
79669,6.2316945,-75.6042550,VALE+
79672,6.2284856,-75.6020274,VALE+
79636,4.3407301,-74.3623241,VALE+
79593,4.5511976,-74.5358795,VALE+
79563,5.1492695,-76.6865338,VALE+
79630,7.8916717,-72.5027084,REVAL
79637,3.5454920,-73.7082754,REVAL
79614,4.7427350,-74.0967050,VALE+
79661,6.3498452,-75.5607736,VALE+
79607,4.7479570,-74.0553502,VALE+
79642,6.1426782,-75.1851716,VALE+
79665,4.1068219,-73.6537199,REVAL
79621,10.3952139,-75.4924106,REVAL
79646,7.3787378,-72.6440680,REVAL
79633,10.1513422,-73.9616815,REVAL
79683,9.3977594,-75.0631684,REVAL
79681,3.5324203,-76.2798643,VALE+
79764,7.9207071,-72.5059678,REVAL
79765,7.8922640,-72.4772285,REVAL
79768,4.2695984,-73.4882183,REVAL
