Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
81148,3.5386476,-76.3020751,VALE+
81918,1.1932079,-77.2744980,VALE+
81891,4.7316957,-74.0502945,VALE+
81373,4.6293983,-74.1336050,VALE+
81367,1.6684271,-78.1401905,VALE+
81418,4.8004570,-75.6915467,VALE+
81433,10.7810504,-73.0056123,REVAL
81611,1.9750227,-75.9320984,REVAL
81550,6.1856800,-75.5985400,VALE+
81606,4.5796066,-74.2025259,VALE+
81576,1.7666182,-78.1838221,VALE+
81584,6.2638435,-73.2986189,REVAL
81620,5.0250957,-73.9985080,VALE+
81747,5.1715871,-72.5510552,REVAL
81767,4.4086554,-75.1456379,REVAL
81764,1.682178,-75.2863640,REVAL
81780,1.3387495,-77.5931879,VALE+
81775,3.5037128,-76.3102163,VALE+
81754,4.6265967,-74.1639433,VALE+
81769,3.2597762,-76.5342533,VALE+
81766,7.5741905,-75.3509269,REVAL
81782,6.3412768,-73.6160154,REVAL
81831,7.8143375,-72.5148102,REVAL
81829,4.7639400,-73.6115640,VALE+
81821,4.7434941,-74.3461102,VALE+
81841,4.4082872,-76.1484769,VALE+
81823,3.4216370,-76.4974420,VALE+
81834,5.1547236,-76.6872100,VALE+
81832,5.0629949,-75.4793158,VALE+
81954,4.9655148,-73.4901530,REVAL
81898,3.4670494,-76.4910174,VALE+
81907,7.9174752,-72.5110053,REVAL
81926,4.9604055,-74.4323220,VALE+
81914,5.0487207,-75.5019495,VALE+
81912,4.3240833,-74.3621483,VALE+
81911,4.7262315,-74.2178162,VALE+
81915,5.0682228,-75.4951433,VALE+
81896,4.5086517,-75.6468783,VALE+
81890,1.6744282,-78.1334807,VALE+
81453,5.3085620,-73.8094824,VALE+
81755,4.5476012,-74.1085041,VALE+
81431,9.1442032,-75.5072270,REVAL
81610,6.6851995,-71.3438592,REVAL
81594,8.7627500,-76.5282333,REVAL
81556,7.9973486,-76.6382291,VALE+
81587,3.9340993,-75.2189966,REVAL
81551,7.8949142,-72.4981945,REVAL
81552,7.8964152,-72.5102678,REVAL
81781,7.4806690,-73.9247515,REVAL
81774,2.9072867,-75.2725500,REVAL
81748,9.8316219,-73.2654168,REVAL
81756,4.7063798,-74.1319171,VALE+
81783,4.8747687,-74.5618030,VALE+
81771,5.0547500,-75.4870967,VALE+
81779,5.3377400,-75.7288802,VALE+
81794,6.2511408,-75.6037973,VALE+
81776,6.9944331,-73.0578534,REVAL
81790,5.5692340,-73.3393227,REVAL
81836,8.4160351,-75.5865580,REVAL
81843,1.5610440,-77.3583391,VALE+
81840,4.0705034,-76.3899589,VALE+
81819,4.5912695,-74.0971844,VALE+
81838,2.4830620,-76.5779068,VALE+
81826,5.4510901,-74.6691859,VALE+
