Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
81133,2.5956754,-77.0172521,VALE+
81247,6.5641108,-73.1403598,REVAL
81252,2.7763727,-77.6685208,VALE+
81280,9.0423400,-75.8260000,REVAL
81274,8.2229969,-75.4812049,REVAL
81282,1.6117585,-75.6031092,REVAL
81299,4.0956216,-76.2048129,VALE+
81291,3.8555800,-74.9319614,REVAL
81604,5.0454850,-73.7961200,VALE+
81581,5.1442209,-76.6844464,VALE+
81290,5.8777534,-73.6787111,REVAL
81289,6.1880174,-74.9925842,VALE+
81305,5.0369852,-74.0061413,VALE+
81285,1.7648048,-78.1791424,VALE+
81425,4.0571680,-73.1753809,REVAL
81384,3.3962248,-76.5052168,VALE+
81377,4.7550298,-74.0853906,VALE+
81438,4.2737250,-75.9359333,VALE+
81374,4.7502978,-74.0540108,VALE+
81415,8.6904704,-73.6651851,REVAL
81403,4.5788938,-74.4447727,VALE+
81454,7.8378050,-72.4714617,REVAL
81390,7.8976473,-72.4710999,REVAL
81440,9.3072431,-75.4023654,REVAL
81432,9.2141210,-74.3208954,REVAL
81413,5.7839215,-73.1159261,REVAL
81366,6.7167183,-73.0198467,REVAL
81396,7.9170933,-72.4727589,REVAL
81419,4.8159295,-75.6974194,VALE+
81429,10.6370229,-74.9319900,REVAL
81436,2.1153891,-74.7698119,REVAL
81602,6.9527476,-71.8717336,REVAL
81570,5.4095769,-73.2971991,REVAL
81572,7.6418199,-73.3280082,REVAL
81569,4.4034168,-75.1534317,REVAL
81573,4.5978831,-74.3950244,VALE+
81555,4.8426632,-75.6672726,VALE+
81601,4.0891273,-74.4781023,VALE+
81614,6.0141164,-73.6723251,REVAL
81600,4.8666970,-75.6202300,VALE+
81563,4.7171350,-74.2121000,VALE+
81208,2.1815142,-73.7859126,REVAL
81185,1.6714155,-78.1408325,VALE+
81241,4.8124479,-75.6945102,VALE+
81287,8.4048600,-75.5826583,REVAL
81278,7.9772250,-75.1939800,REVAL
81276,3.3458467,-76.5895283,VALE+
81303,4.1445878,-73.6276884,REVAL
81421,2.4550893,-76.6335444,VALE+
81539,4.5405333,-75.6767383,VALE+
81559,7.0896084,-73.1050817,REVAL
81298,2.9547974,-76.2684560,VALE+
81295,4.5608295,-74.2328317,VALE+
81296,5.1598793,-76.6837255,VALE+
81458,5.3465290,-72.3959597,REVAL
81397,4.8192469,-75.6765188,VALE+
81422,2.4530688,-76.6324361,VALE+
81449,1.0872690,-77.6175583,VALE+
81414,1.2243835,-77.2848415,VALE+
81395,7.9111954,-72.5034402,REVAL
81448,5.5383743,-73.3627175,REVAL
81411,4.6966099,-74.2360447,VALE+
81368,4.5704315,-72.9648600,REVAL
81444,8.1711489,-76.0620507,REVAL
81388,5.6127414,-73.8218678,REVAL
81456,4.1165656,-73.5884314,REVAL
81451,10.4489473,-73.2819787,REVAL
81434,9.2477045,-75.1471574,REVAL
81452,10.2261838,-73.4903152,REVAL
81417,4.8168874,-75.6908203,VALE+
81427,1.9108318,-75.1607266,REVAL
81409,8.5401140,-74.6282138,REVAL
81603,6.9908959,-71.7303242,REVAL
81542,7.1426536,-73.1352085,REVAL
81548,7.9708938,-75.1803067,REVAL
81545,3.4441925,-76.5211017,VALE+
81544,4.9010297,-74.0286638,VALE+
81547,3.4467160,-76.5347639,VALE+
81560,7.0805900,-73.0965433,REVAL
81557,1.6225943,-75.6118536,REVAL
81582,5.1509375,-76.6848981,VALE+
81566,3.8976017,-76.3037500,VALE+
81251,0.8751495,-75.6192800,REVAL
81195,3.4465800,-76.5141767,VALE+
81297,6.4598090,-72.5006482,REVAL
81300,10.4561424,-73.2756581,REVAL
81441,4.5786309,-74.2011694,VALE+
81283,10.9008206,-74.8839365,REVAL
81370,4.7157167,-74.1426667,VALE+
81292,3.8206639,-76.5217373,VALE+
81540,4.7058149,-74.1219923,VALE+
81430,8.8293498,-75.4871395,REVAL
81271,4.7446967,-74.1012418,VALE+
81420,2.4682405,-76.5903824,VALE+
81284,1.7666315,-78.1812584,VALE+
81428,10.6292733,-74.9196000,REVAL
81406,7.8420352,-72.5013088,REVAL
81455,4.1355209,-73.6015964,REVAL
81416,4.7989853,-75.7604857,VALE+
81386,9.2546110,-73.8130370,REVAL
81447,5.5256449,-73.3715233,REVAL
81376,4.5819500,-74.0869500,VALE+
81408,1.7666733,-78.1818002,VALE+
81450,10.4683677,-73.2839471,REVAL
81457,4.1476090,-73.6269026,REVAL
81392,7.9182772,-72.5442497,REVAL
81398,5.8102783,-73.0171130,REVAL
81381,4.9192203,-74.0276851,VALE+
81385,4.1484328,-74.7227704,REVAL
81439,9.3022783,-75.3822096,REVAL
81405,9.2296350,-75.8191717,REVAL
81435,2.1137557,-74.7680038,REVAL
81558,1.6160930,-75.6145753,REVAL
81618,4.1269776,-73.5637747,REVAL
81590,1.8464334,-76.0577395,REVAL
81583,5.3840511,-73.3642786,REVAL
81605,4.2714443,-75.9350747,VALE+
81579,5.0668690,-75.5228921,VALE+
81535,8.3099872,-73.6019415,REVAL
81554,6.3958883,-75.6448533,VALE+
81564,4.3436789,-74.3726431,VALE+
81565,3.9580889,-76.2724886,VALE+
81154,1.6984040,-78.2461362,VALE+
81212,8.7354167,-75.8978000,REVAL
81211,5.0683350,-75.5027300,VALE+
81294,6.5438274,-73.1232713,REVAL
81277,8.7865863,-76.2400825,REVAL
81288,2.4443821,-76.6168374,VALE+
81443,2.4877000,-75.7336800,REVAL
81281,6.4609000,-75.5562433,VALE+
81541,4.6115800,-74.1700583,VALE+
81437,3.0465880,-76.5225904,VALE+
81272,4.5758333,-74.1263517,VALE+
81273,4.5673739,-74.1300309,VALE+
81275,3.4453167,-76.4867217,VALE+
81401,4.0230104,-74.9657492,REVAL
81382,3.4267528,-76.4789560,VALE+
81383,3.4100456,-76.5048855,VALE+
81378,4.6389233,-74.1952850,VALE+
81371,4.7296665,-74.0881445,VALE+
81426,5.0801517,-75.7927750,VALE+
81372,4.5703848,-74.1238247,VALE+
81404,4.8981501,-75.8833466,VALE+
81391,7.8892231,-72.4839944,REVAL
81445,5.3971265,-76.7188647,VALE+
81407,7.8172452,-72.5117697,REVAL
81400,7.0809678,-73.1007809,REVAL
81393,7.9003969,-72.4709095,REVAL
81442,5.7297428,-72.9191735,REVAL
81387,9.0178820,-75.4566546,REVAL
81423,5.8786189,-73.6763793,REVAL
81389,5.4478838,-74.6727124,VALE+
81561,6.7137636,-71.6909773,REVAL
81586,4.9370146,-71.8132802,REVAL
81567,7.5825200,-75.3478650,REVAL
81585,2.0243843,-75.9948639,REVAL
81578,5.0825717,-75.4896383,VALE+
81577,5.0467650,-75.5018383,VALE+
