Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
77546,7.8363706,-72.4989699,REVAL
77544,4.8633057,-74.9097820,REVAL
77511,3.9917529,-73.7727675,REVAL
77607,1.3957952,-77.0274769,VALE+
77603,10.3133172,-75.3971715,REVAL
77637,3.9846177,-73.7684383,REVAL
77805,4.0544686,-73.1672664,REVAL
77619,4.5779471,-74.2200005,VALE+
77605,4.6351280,-74.4623349,VALE+
77613,5.3102213,-73.8196116,VALE+
77600,4.7003190,-74.1042008,VALE+
77602,10.8974852,-74.8869463,REVAL
77621,6.8430836,-73.0772176,REVAL
77719,10.7295215,-74.2172438,REVAL
77691,3.1947051,-75.6449946,REVAL
77650,1.3352340,-74.8447304,REVAL
77662,7.9113728,-72.5188024,REVAL
77663,7.8978950,-72.5270566,REVAL
77685,1.7229324,-76.1314333,REVAL
77641,5.0965762,-73.4455652,REVAL
77712,5.5257534,-73.3710312,REVAL
77690,1.8545385,-76.0434680,REVAL
77693,2.4271113,-76.6148428,VALE+
77717,6.1755166,-75.3337048,VALE+
77687,3.5428576,-76.3131198,VALE+
77709,1.9756793,-75.9322782,REVAL
77707,10.8933054,-74.7934539,REVAL
77643,10.9820367,-74.7788851,REVAL
77688,1.1917349,-77.2745248,VALE+
77672,5.3830525,-73.6842272,VALE+
77679,4.7398140,-74.2635537,VALE+
77680,4.7329200,-74.2811644,VALE+
77761,6.2192622,-75.5983161,VALE+
77756,6.3318013,-75.5589645,VALE+
77740,4.6741427,-75.6579097,VALE+
77810,5.7139551,-72.9434584,REVAL
77811,3.1749371,-76.4620610,VALE+
77243,5.1617350,-76.6843533,VALE+
77798,6.1876170,-75.5915667,VALE+
77800,4.7185840,-74.2125193,VALE+
77822,10.6315421,-74.9186240,REVAL
77815,7.0731366,-70.7462174,REVAL
77804,8.4097559,-75.5878129,REVAL
77821,4.6233114,-75.7615024,VALE+
77830,6.3349392,-75.5625377,VALE+
77832,6.3122950,-75.5696033,VALE+
77906,3.5335101,-76.2792528,VALE+
77914,4.1024117,-73.6221687,REVAL
77915,4.1531567,-73.6380654,REVAL
77899,5.0012782,-74.3394173,VALE+
77922,4.6222530,-74.2045685,VALE+
77894,7.9118036,-72.5030895,REVAL
77902,8.8155156,-75.9852611,REVAL
77917,10.3885437,-75.4548730,REVAL
77923,7.8803026,-76.6142315,VALE+
77939,7.8445634,-72.4697989,REVAL
77933,5.5795259,-75.1286562,VALE+
77929,5.1462594,-76.6845326,VALE+
77948,4.5154970,-75.7107952,VALE+
77947,4.1694579,-76.1679852,VALE+
77957,7.8969564,-72.4820459,REVAL
77981,6.4474762,-73.1440982,REVAL
77962,3.5431434,-73.7088557,REVAL
77963,3.5562583,-73.7096190,REVAL
77977,5.7065599,-72.9280886,REVAL
77502,4.1358489,-73.6176474,REVAL
77473,5.3372749,-75.7302004,VALE+
77569,2.2427599,-74.4518613,REVAL
77454,5.6215862,-73.3547827,REVAL
77558,4.7919517,-75.7306086,VALE+
77575,8.3012020,-72.8909960,REVAL
77636,5.7185903,-72.9267477,REVAL
77512,1.4750618,-77.0811767,VALE+
77583,5.7346654,-72.9169243,REVAL
77627,1.6144927,-75.6178061,REVAL
77595,9.1037457,-75.4037436,REVAL
77611,4.9647537,-74.4348190,VALE+
77606,5.3114997,-73.8097506,VALE+
77635,5.3861595,-73.6857357,VALE+
77623,4.8199286,-73.9345223,VALE+
77638,2.5337512,-75.9621066,REVAL
77657,7.8882321,-72.5038039,REVAL
77625,7.3802792,-72.6383676,REVAL
77696,7.3471651,-73.9012632,REVAL
77659,7.8868712,-72.5072089,REVAL
77695,1.9076779,-75.1608361,REVAL
77645,7.1262405,-73.1276812,REVAL
77708,8.4980173,-72.6376571,REVAL
77699,7.3921572,-73.4995673,REVAL
77684,2.9379911,-75.2575433,REVAL
77652,5.6563915,-75.8839958,VALE+
77710,5.3996542,-76.7209367,VALE+
77646,3.4216284,-76.4713245,VALE+
77673,3.9114011,-76.3090400,VALE+
77715,10.4689310,-73.2528405,REVAL
77664,7.8824555,-72.5054911,REVAL
77682,8.7533605,-75.9007403,REVAL
77642,2.0423921,-77.2166239,VALE+
77718,5.0373067,-74.0046055,VALE+
77669,4.3430617,-74.3657894,VALE+
77748,7.3786528,-72.6500412,REVAL
77764,6.2050960,-75.5823639,VALE+
77730,10.2520364,-74.9121934,REVAL
77738,4.8208517,-75.6717969,VALE+
77808,9.2956478,-75.3834782,REVAL
77807,3.0063563,-76.4867974,VALE+
77806,8.6602931,-75.1326851,REVAL
77793,10.9790793,-74.7778481,REVAL
77795,4.9342455,-74.0156286,VALE+
77825,1.0295699,-76.6174319,REVAL
77813,5.3133590,-72.3979100,REVAL
77814,10.1834383,-74.0595915,REVAL
77823,4.5899540,-74.1935852,VALE+
77831,6.3343399,-75.5591372,VALE+
77833,6.3292846,-75.5414744,VALE+
77890,10.2527807,-74.9119814,REVAL
77907,4.3235076,-72.0826017,REVAL
77888,10.9458155,-74.8003735,REVAL
77911,5.1030623,-73.7985300,VALE+
77938,7.8194576,-72.4565351,REVAL
77912,9.3040567,-74.5659567,REVAL
77903,8.7635817,-75.8747189,REVAL
77918,8.8807974,-75.7922999,REVAL
77941,6.1522235,-75.6006075,VALE+
77924,6.0900094,-75.6345976,VALE+
77937,10.9179288,-74.8180227,REVAL
77927,4.8388233,-75.6723069,VALE+
77949,4.5214550,-75.6953683,VALE+
77970,3.6145671,-76.3864434,VALE+
77965,2.0243272,-75.7546065,REVAL
77950,4.5290701,-75.6754441,VALE+
77986,5.3417632,-72.3865130,REVAL
77944,3.9832827,-73.7801339,REVAL
77449,7.9058523,-72.5114403,REVAL
77456,4.4375317,-75.1894867,REVAL
77549,1.0995055,-75.4020024,REVAL
77571,8.0829801,-72.8009986,REVAL
77585,1.0088765,-75.2139290,REVAL
77616,7.9123624,-72.4917818,REVAL
77714,10.4496145,-73.2843029,REVAL
77610,4.1322625,-73.6158400,REVAL
77599,5.7499416,-73.1826526,REVAL
77622,2.1828747,-73.7867284,REVAL
77626,9.2540492,-75.8138244,REVAL
77612,4.9241531,-74.0816653,VALE+
77598,5.0348999,-73.9976144,VALE+
77614,4.7313390,-74.2638912,VALE+
77634,10.626870,-74.9248483,REVAL
77628,8.2998556,-72.8904529,REVAL
77608,7.9035968,-72.4871663,REVAL
77678,7.8122889,-72.5166798,REVAL
77658,7.9004452,-72.5327330,REVAL
77661,7.9034844,-72.5404984,REVAL
77675,4.4474328,-75.1781534,REVAL
77700,1.8788386,-76.2684509,REVAL
77666,7.0703060,-73.1061527,REVAL
77681,2.8917130,-72.1329907,REVAL
77698,6.3341217,-72.6816776,REVAL
77654,6.0920982,-75.6392872,VALE+
77704,3.0069866,-76.4821978,VALE+
77653,6.4327233,-75.3270717,VALE+
77651,1.3351189,-74.8407657,REVAL
77706,10.9260691,-74.7659039,REVAL
77667,10.8912415,-72.8483484,REVAL
77692,9.7948613,-74.7785544,REVAL
77689,1.2113804,-77.2607848,VALE+
77644,4.7261241,-74.0899846,VALE+
77671,4.3298485,-74.3931472,VALE+
77743,5.0906184,-76.6502037,VALE+
77724,7.0737347,-75.1464009,VALE+
77735,4.8569207,-75.6552975,VALE+
77727,4.5437163,-75.6729816,VALE+
77802,3.5605990,-76.3017904,VALE+
77803,2.0686712,-77.0536203,VALE+
77801,4.5038752,-74.3652234,VALE+
77794,4.7625229,-74.0300890,VALE+
77819,4.8155231,-72.2846604,REVAL
77791,5.1762839,-72.5457120,REVAL
77818,2.1836279,-73.7868266,REVAL
77820,10.9875680,-74.9590905,REVAL
77908,1.1355018,-76.1752599,REVAL
77826,6.1936180,-75.5893503,VALE+
77829,8.0978962,-76.7204210,VALE+
77889,2.6685792,-76.6399425,VALE+
77892,10.3945083,-75.4991509,REVAL
77905,5.0752385,-73.8729201,VALE+
77900,4.7303300,-74.2784500,VALE+
77896,4.4338431,-75.1933010,REVAL
77895,7.9128291,-72.4738941,REVAL
77916,10.9327909,-74.8246258,REVAL
77936,7.2904353,-75.3930359,VALE+
77930,4.9371998,-75.7385693,VALE+
77925,6.3492852,-75.5043384,VALE+
77932,8.7799712,-75.8047651,REVAL
77934,4.7954480,-75.7435046,VALE+
77967,6.5067572,-72.5932587,REVAL
77969,2.9594669,-75.2992137,REVAL
77954,6.2873910,-73.1464293,REVAL
77946,3.2252739,-75.2342813,REVAL
77956,8.3027920,-76.7490280,VALE+
77985,4.1257433,-73.6368523,REVAL
77489,6.9578553,-71.8747481,REVAL
77495,5.5242826,-73.3660797,REVAL
77463,6.4961359,-74.825454,VALE+
77453,1.6798752,-75.2844597,REVAL
77541,4.4402549,-75.2400881,REVAL
77562,1.9098254,-75.1575364,REVAL
77629,1.8488852,-76.0432386,REVAL
77609,8.7517530,-75.8446219,REVAL
77632,7.8861841,-75.6748535,REVAL
