Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
42847,4.441792,-75.426844,REVAL
77585,1.008902,-75.213155,REVAL
79771,7.5987203,-74.8027015,REVAL
28846,6.0905933,-75.6360135,VALE+
62137,6.410916,-75.392050,VALE+
76416,7.9121048,-72.5233726,REVAL
52581,3.4840734,-76.5103728,VALE+
65511,8.744259,-75.8839218,REVAL
79971,4.5215546,-75.6940495,VALE+
40038,4.7608424,-75.9337350,VALE+
77541,4.440216,-75.240141 ,REVAL
71987,4.6319195,-74.1441896,VALE+
54517,3.990220,-73.761970,REVAL
76234,7.945756,-72.503417,REVAL
41857,2.113183,-74.770561,REVAL
64124,4.752060,-74.117296,VALE+
79065,7.9406799,-72.5149415,REVAL
20590,2.9269145,-75.2882368,REVAL
77453,1.679729,-75.284591,REVAL
79547,3.4683429,-76.5044855,VALE+
66899,4.7466339,-74.5334483,VALE+
80041,4.8115862,-75.7040720,VALE+
53039,7.13636326,-73.12317348,REVAL
66393,6.460133,-72.501424,REVAL
60473,5.154043,-74.140842,VALE+
77975,2.558568,-72.638790,REVAL
46386,10.9378723,-74.8180748,REVAL
79660,6.3351028,-75.5663807,VALE+
36897,3.287101,-75.819305 ,REVAL
79787,2.5541404,-72.6415013,REVAL
46187,3.932136,-75.017789,REVAL
63146,5.0234028,-73.9706629,VALE+
79392,4.7642907,-73.6113931,VALE+
57869,4.1508229,-74.7160017,REVAL
75045,10.4224937,-75.5398983,REVAL
