Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
12101,5.4370808,-73.297547,REVAL
33488,3.701122777,-73.7000108,REVAL
46469,2.92935,-75.287663,REVAL
47042,11.545,-72.907167,REVAL
49246,3.5379718,-76.2971657,VALE+
51736,6.225489,-75.595773,VALE+
59632,2.4431402,-76.6063969,VALE+
59847,1.085739,-77.618641,VALE+
64475,6.988381389,-73.04312667,REVAL
70434,6.2051453,-75.5823788,VALE+
71913,2.3938879,-75.8273219,REVAL
73334,4.9164077,-74.024201,VALE+
75838,11.2504181,-74.1917798,REVAL
14044,6.2860321,-75.5612437,VALE+
24233,7.0647005,-73.1664725,REVAL
32034,3.9190905,-76.2942332,VALE+
37023,4.7550488,-74.03959,VALE+
46406,10.4710413,-73.2372019,REVAL
47585,7.060647,-73.170365,REVAL
53628,2.86545,-75.23585555,REVAL
55877,1.2133179,-77.2984313,VALE+
60466,3.2331092,-76.4212296,VALE+
62736,11.006034,-74.84273,REVAL
64313,5.341437,-72.39842,REVAL
65784,3.636479,-73.334316,REVAL
66042,4.6045828,-74.0723489,VALE+
68554,4.8115733,-74.352105,VALE+
70270,5.52818,-73.3644738,REVAL
71502,6.2690585,-75.5726094,VALE+
73074,4.7939681,-75.7358887,VALE+
75500,4.6395216,-74.1164195,VALE+
76663,3.438314,-76.5227855,VALE+
12643,5.06612913,-75.51064479,VALE+
22032,7.92877887,-72.50334992,REVAL
27083,8.21418226,-73.23788903,REVAL
30706,4.76934927,-74.03251046,VALE+
46597,6.976571,-73.048275,REVAL
52712,6.2916164,-75.581816,VALE+
55491,3.4525591,-76.4991075,VALE+
61178,10.984054,-74.795895,REVAL
63454,4.0844233,-72.9533317,REVAL
67572,1.3727,-75.3555,REVAL
69793,6.1707518,-75.5876407,VALE+
71126,9.8999983,-74.8564283,REVAL
72244,10.3962801,-75.4946299,REVAL
73492,4.5118108,-74.1162752,VALE+
74958,4.8182117,-73.6382889,VALE+
75086,7.8953816,-72.4681583,REVAL
76137,4.6317066,-74.4644462,VALE+
16016,6.624941,-75.265755,VALE+
34555,10.396153,-75.4584666,REVAL
41887,7.7733885,-72.8094577,REVAL
49764,6.5016869,-75.74725583,VALE+
53448,5.0622497,-75.4702165,VALE+
55025,6.2576458,-75.569601,VALE+
59058,4.451967,-75.20061725,REVAL
62668,10.4016052,-75.4647055,REVAL
65220,1.909918,-75.157235,REVAL
66485,4.0777734,-73.6709285,REVAL
68171,4.715873055,-74.12854194,VALE+
