Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
12870,6.3487047,-75.5058758,VALE+
10297,6.2669216,-75.5423024,VALE+
28854,6.68068565,-75.9530957,VALE+
37391,10.9847185,-74.8178405,REVAL
46811,7.9459269,-72.5070364,REVAL
48090,6.323617,-75.597466,VALE+
51623,6.95904019,-71.87648,REVAL
54284,0.506737777,-76.49403278,REVAL
57331,4.606261,-74.190212,VALE+
59649,4.756782,-74.053643,VALE+
62081,6.505122,-75.745823,VALE+
64634,4.6669043,-74.1470184,VALE+
65747,3.3134,-76.25206,VALE+
69306,2.271267,-76.35590352,VALE+
70164,5.5045814,-73.8515968,REVAL
71613,7.9642123,-72.5043209,REVAL
74818,4.1585003,-76.288447,VALE+
76996,4.3265017,-74.3634622,VALE+
19202,7.8892647,-72.5055173,REVAL
35441,4.1694025,-76.1679452,VALE+
45988,4.2054419,-74.6400617,REVAL
50997,8.2311162,-73.3518532,REVAL
54561,4.9539161,-73.9372383,VALE+
57726,4.09132305,-76.18528388,VALE+
63947,4.702351,-74.049625,VALE+
66377,6.1557867,-75.3647202,VALE+
69186,4.6202877,-74.1136241,VALE+
70735,8.725095,-75.8716339,REVAL
72827,7.0106044,-75.6916678,VALE+
75786,7.0768369,-73.1079754,REVAL
76815,4.1501557,-73.6164543,REVAL
11827,5.14459319,-73.68640687,VALE+
24593,5.71795155,-72.93371854,REVAL
28770,4.6579831,-74.0679367,VALE+
46176,5.50252,-73.85172,REVAL
56390,6.038758,-75.415931,VALE+
61236,4.1475325,-74.7221746,REVAL
66347,4.548498,-74.112851,VALE+
72554,6.1743321,-75.5797561,VALE+
77114,11.228569,-74.1824161,REVAL
13979,1.8129523,-78.7644429,VALE+
22764,4.4280291,-75.2419803,VALE+
24427,3.43690752,-76.46892691,VALE+
37753,4.8266419,-75.68817,VALE+
45365,3.839963,-77.199572,VALE+
47396,3.5451975,-73.7036725,REVAL
51418,4.8453049,-74.6222134,VALE+
55169,6.2877608,-75.548238,VALE+
56915,8.0960179,-76.7257746,VALE+
61590,7.5468,-76.809173,VALE+
66650,6.2687757,-75.6041933,VALE+
66834,7.88034,-76.633955,VALE+
70913,7.0221922,-75.9095061,VALE+
72026,1.6082457,-75.5951103,REVAL
73766,4.6006192,-74.0816405,VALE+
77379,3.086935,-73.8319129,REVAL
14602,5.92681973,-75.67145723,VALE+
21115,6.961969,-75.4190689,VALE+
33123,9.5666056,-73.3398941,REVAL
40454,4.5860588,-74.0898005,VALE+
46813,7.8831666,-72.5011985,REVAL
47792,4.178628,-74.422613,VALE+
53037,8.36406,-72.405853,REVAL
54258,1.9921178,-76.0448312,REVAL
58368,3.895281,-76.3120019,VALE+
59650,4.7154777,-74.0585675,VALE+
62100,5.6810232,-76.6532661,VALE+
64758,1.3354222,-74.8404039,REVAL
65781,10.41238,-75.44529833,REVAL
67651,6.2386147,-75.5695294,VALE+
70206,3.7801642,-76.3256072,VALE+
71723,8.557062,-74.2675218,REVAL
74844,10.915767,-74.761817,REVAL
