Codigo_Punto,Latitud,Longitud,Fuerza_Comercial
12549,4.8085337,-75.6993211,VALE+
24228,1.19944500,-77.277523,VALE+
29555,4.5885073,-74.3500558,VALE+
49326,5.3124349,-73.8107180,VALE+
58514,4.3041500,-74.7960408,REVAL
64620,12.576855,-81.705052,REVAL
69033,2.1122007,-76.9872172,VALE+
71467,5.7993139,-75.9062316,VALE+
75313,6.3355269,-75.5625204,VALE+
76373,1.594317,-75.582377,REVAL
78294,10.4098135,-75.5080231,REVAL
79047,3.4497067,-76.5162112,VALE+
28285,10.9831927,-74.7798689,REVAL
51983,6.2122322,-75.5020268,VALE+
57723,3.68724,-76.31260,VALE+
64347,1.28326,-77.472045,VALE+
68816,5.3094862,-73.8125575,VALE+
73847,4.6368746,-74.0693787,VALE+
77009,3.45926,-76.48258,VALE+
78002,7.9099949,-72.5161734,REVAL
79389,7.0639407,-73.1657727,REVAL
81554,6.3958883,-75.6448533,VALE+
15559,4.5438518,-75.6627291,VALE+
23930,5.6921879,-73.2612231,REVAL
30907,8.3100040,-73.6019370,REVAL
49049,5.8712446,-75.5648167,VALE+
58902,1.777090,-76.174051,REVAL
64751,6.3348625,-72.6822177,REVAL
69400,4.4412281,-75.237086,REVAL
73250,10.2547572,-75.3416851,REVAL
75673,6.3091985,-76.1323608,VALE+
77497,10.478228,-73.291066,REVAL
79504,10.9815281,-74.8296554,REVAL
80593,7.8912783,-72.4999134,REVAL
18446,5.80225,-73.97109,REVAL
35305,6.1754809,-75.3388793,VALE+
51510,6.0247606,-75.4321071,VALE+
59506,5.3069403,-73.7112842,VALE+
65001,4.040263,-73.39478368,REVAL
68363,4.9410183,-73.962063,VALE+
70991,6.1540964,-75.6115709,VALE+
75075,2.940716,-75.271391,REVAL
76777,4.115162,-73.626337,REVAL
79946,1.2267594,-77.2688667,VALE+
16089,3.8836844,-77.0741040,VALE+
25666,5.72367309,-72.93831387,REVAL
34526,6.569138, -75.518182,VALE+
49324,5.382592,-73.683893,VALE+
63128,10.760596,-74.750509,REVAL
64537,8.7340712,-75.8772154,REVAL
70246,8.721572,-75.888211,REVAL
71520,10.872690,-74.979306,REVAL
75404,6.6984059,-73.0144897,REVAL
76453,1.621306,-75.616939,REVAL
78303,4.130101,-73.601189,REVAL
80179,7.0703178,-74.7197718,VALE+
19741,4.0901672,-73.66648575,REVAL
30395,6.755759,-73.1847543,REVAL
56101,1.910108,-75.155207,REVAL
63108,7.09272,-70.75726,REVAL
65386,8.57451,-73.09339,REVAL
68975,4.712622,-74.137981,VALE+
75044,10.931999,-74.768171,REVAL
