Codigo_Punto,Aliado,Latitud,Longitud
19538,REVAL,1.9292561,-76.2144835
19539,VALE+,5.74339146,-75.60592983
19540,REVAL,4.61149715,-72.93092837
19542,REVAL,4.61132469,-72.92885225
19543,REVAL,4.79320849,-71.33527997
19627,REVAL,10.84860333,-74.77613552
19544,VALE+,4.833158,-75.68005
19545,REVAL,4.442218,-75.196543
19546,REVAL,4.44346359,-75.22491669
19779,REVAL,10.92333194,-74.76911845
19547,VALE+,2.44354358,-76.60411405
19548,REVAL,1.3337159,-74.8431823
19780,REVAL,5.21429,-72.87077
19630,VALE+,6.4607472,-75.55497701
19550,REVAL,11.02340094,-74.80979838
19551,REVAL,7.081787,-73.12343
19552,REVAL,7.395838,-73.54512
19553,REVAL,7.08514,-73.16202
19632,VALE+,4.61222162,-74.17437153
19554,REVAL,7.1267326,-73.1130613
19555,VALE+,3.89778611,-76.29027627
19634,REVAL,10.37987,-75.4867
19636,VALE+,4.81698891,-75.69256027
22739,VALE+,4.40975995,-76.15188779
19638,VALE+,1.83724974,-76.96608175
19639,VALE+,4.49288076,-74.25867275
19640,VALE+,4.08353983,-76.19864537
19641,VALE+,3.4516467,-76.51182586
19781,REVAL,10.88968349,-72.84751455
19643,VALE+,6.5666473,-75.5182462
19644,REVAL,2.11307389,-75.82510517
19645,REVAL,10.77423403,-74.85783565
19646,VALE+,5.03463951,-73.99303383
19647,VALE+,6.2975096,-75.5545743
19648,VALE+,4.75778197,-74.11476506
19649,VALE+,6.2413087,-75.55853954
19650,REVAL,10.98073904,-74.77368899
19651,VALE+,7.0272026,-74.6936519
19652,VALE+,5.044575,-75.5120075
19653,VALE+,6.2361812,-75.5688875
19654,VALE+,4.71194615,-74.21402898
19655,VALE+,6.24910962,-75.57315168
19656,VALE+,4.93626045,-74.02238548
19657,VALE+,6.18035186,-75.59495684
19658,VALE+,6.25695843,-75.5919522
19659,VALE+,4.61559278,-74.08484888
19660,VALE+,4.51437685,-74.11591379
19661,VALE+,4.66056755,-74.07406593
